dataset,code,name
BOP,BEFDDAAP_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Principal, US Dollars"
BOP,BEFDDAAP_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Principal, National Currency"
BOP,BEFDDAA_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, Euros"
BOP,BEFDDAA_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, US Dollars"
BOP,BEFDDAA_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Accumulations of Arrears, National Currency"
BOP,BEFDDCAI_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, Interest/Coupon, Euros"
BOP,BEFDDCAI_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, Interest/Coupon, US Dollars"
BOP,BEFDDCAI_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, Interest/Coupon, National Currency"
BOP,BEFDDCAP_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, Principal, Euros"
BOP,BEFDDCAP_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, Principal, US Dollars"
BOP,BEFDDCAP_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, Principal, National Currency"
BOP,BEFDDCA_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, Euros"
BOP,BEFDDCA_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, US Dollars"
BOP,BEFDDCA_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Cancellation of Arrears, National Currency"
BOP,BEFDDRAI_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, Interest/Coupon, Euros"
BOP,BEFDDRAI_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, Interest/Coupon, US Dollars"
BOP,BEFDDRAI_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, Interest/Coupon, National Currency"
BOP,BEFDDRAP_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, Principal, Euros"
BOP,BEFDDRAP_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, Principal, US Dollars"
BOP,BEFDDRAP_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, Principal, National Currency"
BOP,BEFDDRA_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, Euros"
BOP,BEFDDRA_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, US Dollars"
BOP,BEFDDRA_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Repayment of Arrears, National Currency"
BOP,BEFDDRPI_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, Interest/Coupon, Euros"
BOP,BEFDDRPI_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, Interest/Coupon, US Dollars"
BOP,BEFDDRPI_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, Interest/Coupon, National Currency"
BOP,BEFDDRPP_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, Principal, Euros"
BOP,BEFDDRPP_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, Principal, US Dollars"
BOP,BEFDDRPP_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, Principal, National Currency"
BOP,BEFDDRP_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, Euros"
BOP,BEFDDRP_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, US Dollars"
BOP,BEFDDRP_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Payments Due in Current Reporting Period, National Currency"
BOP,BEFDDSAI_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, Interest/Coupon, Euros"
BOP,BEFDDSAI_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, Interest/Coupon, US Dollars"
BOP,BEFDDSAI_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, Interest/Coupon, National Currency"
BOP,BEFDDSAP_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, Principal, Euros"
BOP,BEFDDSAP_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, Principal, US Dollars"
BOP,BEFDDSAP_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, Principal, National Currency"
BOP,BEFDDSA_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, Euros"
BOP,BEFDDSA_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, US Dollars"
BOP,BEFDDSA_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, Rescheduling of Arrears, National Currency"
BOP,BEFDD_BP6_EUR,"Exceptional Financing, Direct Investment, Debt Instruments, Euros"
BOP,BEFDD_BP6_USD,"Exceptional Financing, Direct Investment, Debt Instruments, US Dollars"
BOP,BEFDD_BP6_XDC,"Exceptional Financing, Direct Investment, Debt Instruments, National Currency"
BOP,BEFDE_BP6_EUR,"Exceptional Financing, Direct Investment, Equity Investment Associated with Debt Reduction, Euros"
BOP,BEFDE_BP6_USD,"Exceptional Financing, Direct Investment, Equity Investment Associated with Debt Reduction, US Dollars"
BOP,BEFDE_BP6_XDC,"Exceptional Financing, Direct Investment, Equity Investment Associated with Debt Reduction, National Currency"
BOP,BEFD_BP6_EUR,"Exceptional Financing, Direct Investment, Euros"
BOP,BEFD_BP6_USD,"Exceptional Financing, Direct Investment, US Dollars"
BOP,BEFD_BP6_XDC,"Exceptional Financing, Direct Investment, National Currency"
BOP,BEFISGIMF_BP6_EUR,"Exceptional Financing, Secondary Income, Grants Received from IMF Subsidy Accounts, Euros"
BOP,BEFISGIMF_BP6_USD,"Exceptional Financing, Secondary Income, Grants Received from IMF Subsidy Accounts, US Dollars"
BOP,BEFISGIMF_BP6_XDC,"Exceptional Financing, Secondary Income, Grants Received from IMF Subsidy Accounts, National Currency"
BOP,BEFISIG_BP6_EUR,"Exceptional Financing, Secondary Income, Other Intergovernmental grants, Euros"
BOP,BEFISIG_BP6_USD,"Exceptional Financing, Secondary Income, Other Intergovernmental grants, US Dollars"
BOP,BEFISIG_BP6_XDC,"Exceptional Financing, Secondary Income, Other Intergovernmental grants, National Currency"
BOP,BEFIS_BP6_EUR,"Exceptional Financing, Secondary Income, Euros"
BOP,BEFIS_BP6_USD,"Exceptional Financing, Secondary Income, US Dollars"
BOP,BEFIS_BP6_XDC,"Exceptional Financing, Secondary Income, National Currency"
BOP,BEFOE_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Equity Investment Associated with Debt Reduction, Euros"
BOP,BEFOE_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Equity Investment Associated with Debt Reduction, US Dollars"
BOP,BEFOE_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Equity Investment Associated with Debt Reduction, National Currency"
BOP,BEFOODCBAAI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Original Interest, Euros"
BOP,BEFOODCBAAI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Original Interest, US Dollars"
BOP,BEFOODCBAAI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Original Interest, National Currency"
BOP,BEFOODCBAAPI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Penalty Interest, Euros"
BOP,BEFOODCBAAPI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Penalty Interest, US Dollars"
BOP,BEFOODCBAAPI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Penalty Interest, National Currency"
BOP,BEFOODCBAAP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Principal, Euros"
BOP,BEFOODCBAAP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Principal, US Dollars"
BOP,BEFOODCBAAP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Principal, National Currency"
BOP,BEFOODCBAA_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, Euros"
BOP,BEFOODCBAA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, US Dollars"
BOP,BEFOODCBAA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Accumulation of Arrears, National Currency"
BOP,BEFOODCBCAI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, Interest, Euros"
BOP,BEFOODCBCAI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, Interest, US Dollars"
BOP,BEFOODCBCAI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, Interest, National Currency"
BOP,BEFOODCBCAP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, Principal, Euros"
BOP,BEFOODCBCAP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, Principal, US Dollars"
BOP,BEFOODCBCAP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, Principal, National Currency"
BOP,BEFOODCBCA_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, Euros"
BOP,BEFOODCBCA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, US Dollars"
BOP,BEFOODCBCA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Cancellation of Arrears, National Currency"
BOP,BEFOODCBND_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, New Drawings/Deposits, Euros"
BOP,BEFOODCBND_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, New Drawings/Deposits, US Dollars"
BOP,BEFOODCBND_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, New Drawings/Deposits, National Currency"
BOP,BEFOODCBPP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Prepayment, Euros"
BOP,BEFOODCBPP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Prepayment, US Dollars"
BOP,BEFOODCBPP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Prepayment, National Currency"
BOP,BEFOODCBRAI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, Interest, Euros"
BOP,BEFOODCBRAI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, Interest, US Dollars"
BOP,BEFOODCBRAI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, Interest, National Currency"
BOP,BEFOODCBRAP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, Principal, Euros"
BOP,BEFOODCBRAP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, Principal, US Dollars"
BOP,BEFOODCBRAP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, Principal, National Currency"
BOP,BEFOODCBRA_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, Euros"
BOP,BEFOODCBRA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, US Dollars"
BOP,BEFOODCBRA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Repayment of Arrears, National Currency"
BOP,BEFOODCBRPI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, Interest, Euros"
BOP,BEFOODCBRPI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, Interest, US Dollars"
BOP,BEFOODCBRPI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, Interest, National Currency"
BOP,BEFOODCBRPP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, Principal, Euros"
BOP,BEFOODCBRPP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, Principal, US Dollars"
BOP,BEFOODCBRPP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, Principal, National Currency"
BOP,BEFOODCBRP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, Euros"
BOP,BEFOODCBRP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, US Dollars"
BOP,BEFOODCBRP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Payments Due in Current Reporting Period, National Currency"
BOP,BEFOODCBSAI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, Interest, Euros"
BOP,BEFOODCBSAI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, Interest, US Dollars"
BOP,BEFOODCBSAI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, Interest, National Currency"
BOP,BEFOODCBSAP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, Principal, Euros"
BOP,BEFOODCBSAP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, Principal, US Dollars"
BOP,BEFOODCBSAP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, Principal, National Currency"
BOP,BEFOODCBSA_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, Euros"
BOP,BEFOODCBSA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, US Dollars"
BOP,BEFOODCBSA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Rescheduling of Arrears, National Currency"
BOP,BEFOODCB_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, Euros"
BOP,BEFOODCB_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, US Dollars"
BOP,BEFOODCB_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Central Bank, National Currency"
BOP,BEFOODDCAAI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Original Interest, Euros"
BOP,BEFOODDCAAI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Original Interest, US Dollars"
BOP,BEFOODDCAAI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Original Interest, National Currency"
BOP,BEFOODDCAAPI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Penalty Interest, Euros"
BOP,BEFOODDCAAPI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Penalty Interest, US Dollars"
BOP,BEFOODDCAAPI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Penalty Interest, National Currency"
BOP,BEFOODDCAAP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Principal, Euros"
BOP,BEFOODDCAAP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Principal, US Dollars"
BOP,BEFOODDCAAP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Principal, National Currency"
BOP,BEFOODDCAA_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, Euros"
BOP,BEFOODDCAA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, US Dollars"
BOP,BEFOODDCAA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Accumulation of Arrears, National Currency"
BOP,BEFOODDCCAI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, Interest, Euros"
BOP,BEFOODDCCAI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, Interest, US Dollars"
BOP,BEFOODDCCAI_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, Interest, National Currency"
BOP,BEFOODDCCAP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, Principal, Euros"
BOP,BEFOODDCCAP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, Principal, US Dollars"
BOP,BEFOODDCCAP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, Principal, National Currency"
BOP,BEFOODDCCA_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, Euros"
BOP,BEFOODDCCA_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, US Dollars"
BOP,BEFOODDCCA_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Cancellation of Arrears, National Currency"
BOP,BEFOODDCND_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, New Drawings/Deposits on Behalf of Authorities, Euros"
BOP,BEFOODDCND_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, New Drawings/Deposits on Behalf of Authorities, US Dollars"
BOP,BEFOODDCND_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, New Drawings/Deposits on Behalf of Authorities, National Currency"
BOP,BEFOODDCPP_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Prepayment, Euros"
BOP,BEFOODDCPP_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Prepayment, US Dollars"
BOP,BEFOODDCPP_BP6_XDC,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Prepayment, National Currency"
BOP,BEFOODDCRAI_BP6_EUR,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Repayment of Arrears, Interest, Euros"
BOP,BEFOODDCRAI_BP6_USD,"Exceptional Financing, Other Investment - Liabilities, Other Debt Instruments, Deposit-taking Corporations, Except Central Bank, Repayment of Arrears, Interest, US Dollars"
